word,article,raw
lange,,lange
langsam,,langsam
langweilig,,langweilig
Laptop,der/das,"der/das Laptop, -s"
lassen,,"lassen, lässt,"
laufen,,"laufen, läuft,"
laut,,laut
leben,,"leben, lebt,"
Leben,das,"das Leben, -"
Lebensmittel,die,die Lebensmittel (Pl.)
leer,,leer
legen,,"legen, legt,"
leicht,,leicht
leider,,leider
leidtun/leid tun,,"leidtun/leid tun,"
leihen,,"leihen, leiht,"
leise,,leise
lernen,,"lernen, lernt,"
lesen,,"lesen, liest,"
letztdie Leute,,letztdie Leute (Pl.)
Licht,das,"das Licht, -er"
lieb-,,lieb-
lieben,,"lieben, liebt,"
Lieblings-,,Lieblings-
Lied,das,"das Lied, -er"
liefern,,"liefern, liefert,"
liegen,,"liegen, liegt,"
hat/ist gelegen,,hat/ist gelegen
Link,der,"der Link, -s"
links,,links
Löffel,der,"der Löffel, -"
Lokal,das,"das Lokal, -e"
Lüge,die,"die Lüge, -n"
lügen,,"lügen, lügt,"
Lust,die,die Lust (Sg.)
lustig,,lustig
machen,,"machen, macht,"
Mädchen,das,"das Mädchen, -"
Magen,der,"der Magen, ¨-"
Mailbox,die,"die Mailbox, -en"
mal / das Mal,,mal / das Mal
malen,,"malen, malt,"
man,,man
manch-,,manch-
manchmal,,manchmal
Mann,der,"der Mann, ¨-er"
männlich,,männlich
Mannschaft,die,"die Mannschaft,-enMeine"
Mantel,der,"der Mantel, ¨-"
Markt,der,"der Markt, ¨-e"
Maschine,die,"die Maschine, -n"
Medikament,das,"das Medikament,-e"
Meer,das,"das Meer, -e"
mehr,,mehr
meinen,,"meinen, meint,"
Meinung,die,"die Meinung, -en"
meist-,,meist-
meistens,,meistens
Menge,die,"die Menge, -n"
Mensch,der,"der Mensch, -en"
merken,,"merken, merkt,"
Messe,die,"die Messe, -n"
Messer,das,"das Messer, -"
Miete,die,"die Miete, -n"
mieten,,"mieten, mietet,"
Milch,die,die Milch (Sg.)
mindestens,,mindestens
Mineralwasser,das,das Mineralwasser (Sg.)
mit,,mit (+ mitbringen/-kommen/-machen/Fahren -nehmen/-spielen)
mitbringen,,mit (+ mitbringen/-kommen/-machen/Fahren -nehmen/-spielen)
mitkommen,,mit (+ mitbringen/-kommen/-machen/Fahren -nehmen/-spielen)
mitmachen,,mit (+ mitbringen/-kommen/-machen/Fahren -nehmen/-spielen)
mitnehmen,,mit (+ mitbringen/-kommen/-machen/Fahren -nehmen/-spielen)
mitspielen,,mit (+ mitbringen/-kommen/-machen/Fahren -nehmen/-spielen)
Mitarbeiter,der,"der Mitarbeiter, -"
Mittagessen,das,"das Mittagessen, -"
Mitte,die,"die Mitte, -n"
Mittel,das,"das Mittel, die Möbel (Pl.)"
Mobil-,das,das Mobil-
telefon,,"telefon, -e"
möchten,,"möchten, möchte,"
Mode,die,"die Mode, -n"
modern,,modern
mögen,,"mögen, mag,"
möglich,,möglich
Moment,der,"der Moment, -e"
morgen,,morgen
Motor,der,"der Motor, -en"
Motorroller,der,"der Motorroller, -"
müde,,müde
Müll,der,der Müll (Sg.)
Mund,der,"der Mund, ¨-er"
Museum,das,"das Museum, -een"
Musik,die,die Musik (Sg.)
müssen,,"müssen, muss,"
Mütze,die,"die Mütze, -n"
nach,,nach
Nachbar,der,"der Nachbar, -n,"
Nachbarin,die,"die Nachbarin,-nen"
Nachricht,die,"die Nachricht, -en"
nächste,,"nächste, -er, -es"
Nähe,die,die Nähe (Sg.)
Name,der,"der Name, -n"
nass,,nass
Natur,die,die Natur (Sg.)
natürlich,,natürlich
neben,,neben
nebenan,,nebenan
neblig,,neblig
nehmen,,"nehmen, nimmt,"
nein,,nein
nennen,,"nennen, nennt,"
nervös,,nervös
nett,,nett
neu,,neu
nicht,,nicht
nichts,,nichts
nie,,nie
niemand,,niemand
nirgends,,nirgends
noch,,noch
normal,,normal
Note,die,"die Note, -n"
notieren,,"notieren, notiert,"
Notiz,die,"die Notiz, -en"
notwendig,,notwendig
Nudel,die,"die Nudel, -n"
Nummer,die,"die Nummer, -n"
nur,,nur
nützlich,,nützlich
oben,,oben
Obst,das,das Obst (Sg.)
oder,,oder
offen,,offen
öffnen,,"öffnen, öffnet,"
oft,,oft
ohne,,ohne
Ohr,das,"das Ohr, -en"
Öl,das,"das Öl, -e"
online,,online
Orange,die,"die Orange, -n"
Ordnung,die,"die Ordnung, -en"
organisieren,,"organisieren,"
Ort,der,"der Ort, -e"
Paar,das,"das Paar, -e"
ein paar,,ein paar
packen,,"packen, packt,"
Paket,das,"das Paket, -e"
Papier,das,"das Papier, -e"
Papiere,die,die Papiere (Pl.)
Parfüm,das,"das Parfüm, -s"
Park,der,"der Park, -s"
parken,,"parken, parkt,"
Partner,der,"der Partner, -"
Partnerin,die,"die Partnerin, -nen"
Party,die,"die Party, -s"
Pass,der,"der Pass, ¨-e"
passen,,"passen, passt,"
passieren,,"passieren,"
Passwort,das,"das Passwort, ¨-er"
Pause,die,"die Pause, -n"
Person,die,"die Person, -en"
Pferd,das,"das Pferd, -e"
Pflanze,die,"die Pflanze, -n"
Pizza,die,"die Pizza, -s/-en"
Plakat,das,"das Plakat, -e"
Plan,der,"der Plan, ¨-e"
planen,,"planen, plant,"
Platz,der,"der Platz, ¨-e"
plötzlich,,plötzlich
Polizei,die,die Polizei (Sg.)
Pommes frites,die,die Pommes frites
Portion,die,"die Portion, -en"
Post,die,die Post (Sg.)
